Unnamed: 0,subject,age_class,arousal,general_arousal,valence,context,context_complet,context_general,file,Playback,negative_high,negative_low,positive_high,positive_low,total,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,valence_arousal,UMAP_1,UMAP_2,UMAP_3,UMAP_2D_1,UMAP_2D_2,has_audio,has_image,general_arousal_refined,valence_refined,valence_arousal_refined
15,Habari,Juvenile,very high,high,negative,Tantrum,Tantrum,Tantrum,S1_Call154_Habari.wav,No,,,,,0,-1.6581545156264443,7.582552654974913,3.943683505562464,0.9057743175971092,0.108208387142595,-1.455452687869864,1.2652893273589445,-4.263341680736293,1.0755688252611852,-1.5272000758533195,0.4725964817203943,0.1556882139082287,-0.2875666396519933,-2.9366866095143247,-0.1057639526942926,-1.1333574415175345,-0.5693795020736845,0.9204821026287434,-0.0476088997184708,0.8279849269172264,negative_very high,3.857363,3.7381747,2.7615323,1.7584959,2.871402,False,False,high,negative,negative_high
16,Habari,Juvenile,low,low,negative,Beg,Foraging,Food,S4_Call132_Habari.wav,No,,,,,0,-17.25215680727739,9.99878070533589,1.278675572479728,-0.292831082103096,-5.397749084526337,1.682947730376721,3.64653683705323,-0.7092836317072908,-3.2249603481971447,-3.771335073301799,3.4478543067211698,-0.5378586714470504,-2.5146472513336207,0.1481850079055243,-0.377310762740865,0.8682500627619205,0.3791526584286305,-1.4261638927985718,0.729123261985174,-1.405402333102762,negative_low,4.7395625,3.6624439,2.97535,2.5426538,2.725786,False,False,low,negative,negative_low
17,Hortense,Adult,high,high,positive,Pre/start-feeding,Pre-feeding,Food,S3_Call869_Hortense.wav,No,,,,,0,27.175068850036233,0.9703693440346624,3.9095636433867447,5.869184154886114,-2.0341279816602693,-3.1448949015206575,-2.0963155733625,0.109801016482613,-1.4531769421943797,0.271635230625913,1.3489440532994117,-1.051090533104476,-1.0421960414772715,0.2490887050437595,1.3125905147865742,-0.1305888867712921,-0.3064511748946404,1.3038246020238695,1.143639880404815,-0.4695886303465033,positive_very high,2.6959162,4.7055798,2.5861452,0.21485612,3.4266694,False,False,high,positive,positive_high
19,Daniela,Adult,low,low,positive,Nesting,Nesting,Nesting,Call1351_Daniela.wav,Yes,13.33,21.67,26.67,38.33,0,-11.647373778875254,4.186019325781275,2.8416005451154525,1.652267591567758,-1.6037290252039202,5.501171303555195,-0.596300191443141,0.7498935054980354,-0.1634213435774482,-0.7094154194461277,-1.9393782531639456,-0.3110851046065723,4.2757390945970695,5.5031372615914895,-2.813746844898743,-2.0996790905641163,-1.186953305696297,-0.5338485930934103,0.1469665775273664,0.9975714749078026,positive_low,3.6541758,3.86406,5.5388575,4.37973,4.942082,True,True,low,positive,positive_low
20,Tschudi,Infant,high,high,positive,Tickle,Play,Affiliatif,S1_Tschudi_Yvonne_Test04_Unfam2_Tickl2_08_06_23_14h39.wav,No,,,,,0,27.64557578428451,1.113966561642315,2.3663737381524665,3.576325770357714,-1.7475431988545405,0.2220117964189453,1.560948791631788,-0.4562422178870337,-0.2408273181016218,-0.4262268903361597,-0.4339461441550931,0.7227493807361338,0.148699267719068,-0.4654920664530012,-0.0142121563821925,-0.4266307028149666,-0.3635522306410893,0.0397901144244638,0.1614630925311389,-0.1492203717935876,positive_high,2.8091,5.0869775,2.7105405,0.39296976,3.2057643,False,False,high,positive,positive_high
21,Khaya,Adult,low,low,positive,Contact-general,Contact,Contact,S1_Call1665_Khaya.wav,No,,,,,0,-31.629743054566777,-1.9702681466204897,-3.9869386502652144,0.2248086173095991,-3.67576852962238,3.1331236168223153,-1.4373425857581663,-1.43097837952552,0.4407412310602585,4.230033947697899,-4.660889603087861,3.245966675781674,-0.5280602136885607,-1.2908621777324714,-4.9551568671421435,1.9996245549704743,2.4715020415649684,-1.579480618545743,2.8001975641860284,0.9809823834716052,positive_low,4.2426496,4.945219,2.5667362,2.4419484,5.3264737,False,False,low,positive,positive_low
24,Jill,Adult,very high,high,negative,Mild aggression-Victim,Agonistic_victim,Agonistic,S3_Call1269_Jill.wav,No,,,,,0,8.466399356706946,1.5205840118058065,0.3456823571720122,5.749172912979936,-3.5785302658529843,-5.635763813414506,1.019362881742949,-1.0556791150598477,-0.9086942237649202,-0.2083384740842097,-1.7561075298004352,-1.0294299747947129,0.6865556138383087,0.4652698023568454,-1.9617022340835193,2.7576304916969443,1.0285134671375165,3.181315843092774,-2.6132151754037016,-2.020056455813649,negative_high,2.3518715,3.8183339,2.9450426,1.078641,4.2040777,False,False,high,negative,negative_high
25,Yahimba,Infant,very high,high,negative,Tantrum,Tantrum,Tantrum,S52_Call1290_Yahimba.wav,No,,,,,0,6.449394281989562,7.655369626183301,-4.841139119217652,-5.16048442651438,0.9006544351744726,-1.9395666686909896,-0.3016313622910245,0.1121895529749044,-0.0363745298823062,0.9134463347143292,-0.1062105313059628,0.0175867660299828,0.8767002329798677,0.8996883279893603,-1.9120171499248584,-0.0309470024585798,-0.3261298351107284,-1.156761623405203,-0.7545923920673026,1.8956358488369824,negative_very high,2.743358,7.6261177,-2.1698508,-5.2280436,2.4336224,False,False,high,negative,negative_high
26,Khaya,Adult,high,high,negative,Mild aggression-Aggressor,Agonistic_aggressor,Agonistic,Call1472_Khaya_1.wav,No,,,,,0,-11.366236322095084,-9.922252162071592,3.1985553239886295,-4.6979282559596935,6.158144049474561,4.096714310449821,-0.3336672868105272,1.716182046227943,-1.413108592934021,-0.980925909727068,-1.8939688850476328,-2.17079692483092,-0.398286040005391,-2.820599309589929,1.9151563064844233,1.9471867201370672,-1.6634214831975649,0.2602318576084417,-2.3294498031974973,-1.7839191485853902,negative_very high,3.8456156,5.865582,-0.70241016,-2.5835364,1.5617665,False,False,high,negative,negative_high
27,Djanoa,Adult,very high,high,negative,Mild aggression-Victim,Agonistic_victim,Agonistic,S4_Call279_Djanoa.wav,No,,,,,0,-16.303288233556298,4.267946862200798,-1.944808696905193,3.3115979803412516,1.695532444128902,5.515895604563256,4.311129898559583,-1.111834827356378,3.436914554853036,-1.6018212899605015,2.5643219812964646,-0.3793805988103329,-1.553117799374123,2.5486282014002044,-0.0205896405427125,0.5087406254415068,-0.6148983729759359,-1.7575033363479355,-1.099332789530575,-1.299372362799733,negative_high,3.0448623,3.8684046,-0.33991706,-0.86188126,0.68668956,False,False,high,negative,negative_high
